Loan_ID,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term
LP001015,0.0788650057218492,0.0,0.2,0.75
LP001022,0.042410621958113306,0.0625,0.2290909090909091,0.75
LP001031,0.06893794206455349,0.075,0.3781818181818182,0.75
LP001035,0.03226295688621104,0.10608333333333334,0.18181818181818182,0.75
LP001051,0.04516813964069545,0.0,0.14181818181818182,0.75
LP001054,0.02985012891395166,0.14258333333333334,0.27636363636363637,0.75
LP001055,0.030691171807139213,0.0,0.10727272727272727,0.75
LP001056,0.05350963063050642,0.0,0.2672727272727273,0.75
LP001059,0.18796619283321156,0.0,0.509090909090909,0.5
LP001067,0.03309021219098567,0.09999999999999999,0.22363636363636363,0.75
LP001078,0.04261743578430697,0.0,0.16363636363636364,0.75
LP001082,0.030125880682209876,0.06316666666666666,0.29454545454545455,0.75
LP001083,0.05743909332818597,0.0,0.07272727272727272,0.375
LP001094,0.16783631375036193,0.0,0.3018181818181818,0.75
LP001096,0.06433288753464132,0.0,0.22545454545454546,0.75
LP001099,0.07813426353596492,0.0,0.2381818181818182,0.75
LP001105,0.06318851769636973,0.1215,0.36363636363636365,0.75
LP001107,0.052199809731279904,0.013875,0.2290909090909091,0.75
LP001108,0.1272042906975141,0.3298333333333333,0.5454545454545454,0.75
LP001115,0.01792386493678391,0.14458333333333334,0.18181818181818182,0.375
LP001121,0.0260309669235754,0.0675,0.08727272727272728,0.75
LP001124,0.028719546664092984,0.0,0.05090909090909091,0.375
LP001128,0.05389568310606792,0.0,0.18363636363636363,0.75
LP001135,0.051910270374608776,0.0,0.22727272727272727,0.75
LP001149,0.07445297742971776,0.1825,0.5272727272727272,0.75
LP001153,0.0,1.0,0.2690909090909091,0.75
LP001163,0.060155248245529376,0.05208333333333333,0.2545454545454545,0.75
LP001169,0.10340691309683024,0.15625,0.5,0.75
LP001174,0.05200678349349915,0.034708333333333334,0.10363636363636364,0.75
LP001176,0.04056308511078328,0.09924999999999999,0.22727272727272727,0.375
LP001177,0.03416564408719271,0.0,0.13636363636363635,0.75
